,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LUCAT1,12396.3332362913,1.71505193901084,0.164312769048201,10.437727688149,1.6675445990188302e-25,2.6205154569025502e-23
DUSP1,85939.5252733491,1.72756968487327,0.165700954567478,10.4258281998596,1.89005456433043e-25,2.9429363363133996e-23
PTCH2,118.645586452846,3.21961029371559,0.310551414397585,10.3673985834554,3.48893462689418e-25,5.383108953422541e-23
DUSP5,1194.39001201563,2.81839158861576,0.272258625716293,10.3518908949194,4.1030098862808204e-25,6.27353908017641e-23
CNTNAP2,784.303109405018,1.84520411555139,0.180398621380353,10.2284823544242,1.4781763025089001e-24,2.23996501840903e-22
CYB5D1,7322.80992355415,3.94597138526055,0.386208700438373,10.2171996145649,1.6606917926228002e-24,2.49427089419418e-22
ETS2,40818.3785611761,3.0192764958428,0.29592914478947,10.2027007106406,1.92834360160434e-24,2.84589979186339e-22
TNFRSF10D,978.683786026998,2.89186748519908,0.28342660588543,10.2032322483093,1.9178159172667202e-24,2.84589979186339e-22
ARL5B,11250.5583270816,3.04198279696378,0.300565386767381,10.1208686392026,4.46435761918088e-24,6.531817026960169e-22
LINC01366,699.067165989647,3.45382331311172,0.341672493360363,10.1085787712766,5.06131499873279e-24,7.341934885341279e-22
SERTAD1,1334.66029403045,2.55246532468571,0.252767321286065,10.0980827414672,5.63327307319002e-24,8.04079185147759e-22
PELO,363.853789569785,-2.69785429045313,0.267167104515962,-10.0980032528367,5.63784015039967e-24,8.04079185147759e-22
TCEANC2,843.469639410589,1.57709617064609,0.157267471147096,10.0281142638263,1.14685937929953e-23,1.6220414487893e-21
LOC81691,264.687117187795,4.54383403774545,0.456127397590364,9.96176520364633,2.24048795283021e-23,3.14260839135821e-21
LOC646736,188.258779568449,2.03703052347505,0.204880669268082,9.94252181404993,2.71856192903096e-23,3.78192074258306e-21
RFX5,1004.66681553511,1.17513380443677,0.119276669533241,9.85216814851859,6.708101954159051e-23,9.25608994845425e-21
DUSP2,3492.6903351267,3.28835518611972,0.334385175020388,9.83403401756438,8.0334834762858e-23,1.09955065773809e-20
TPRG1-AS1,100.214389179358,2.79258419244389,0.284264527731622,9.82389260710154,8.884509455118881e-23,1.20630315577822e-20
TMCC3,13188.4641584116,-1.95385946915069,0.199214256273197,-9.80782954845974,1.04185316745536e-22,1.40335967921051e-20
F3,663.466368854069,4.18958007481645,0.428354040679415,9.78064796160515,1.3633490059507e-22,1.8219495534641902e-20
NFKBIB,1772.71045965122,1.62627352019202,0.166993717081323,9.73853117719425,2.06517701816361e-22,2.73829565252131e-20
CLK1,10832.9413610524,-1.51890007489767,0.157157004616815,-9.6648576282113,4.25210739848026e-22,5.594323005194351e-20
ECHDC1,3470.68906697833,2.40834150929173,0.249757982201235,9.64270085811022,5.27806537184445e-22,6.880552738213901e-20
TKTL1,228.491865925401,-2.82707585999708,0.293202294911103,-9.64206593558292,5.310820225701279e-22,6.880552738213901e-20
STX1B,181.369296579042,2.34153888215774,0.243393381687202,9.62038846712348,6.55830091513468e-22,8.379401365121681e-20
FLJ32255,2356.65202128968,1.72234857743287,0.17903346543717,9.62026050954874,6.566464656853549e-22,8.379401365121681e-20
UST,319.839126258858,2.21125768637095,0.229888731845557,9.61881719307804,6.659248113272539e-22,8.43438499839266e-20
MED29,2925.53118295616,1.78641998889004,0.186120687809893,9.59818067465301,8.136792773186239e-22,1.0229455329371601e-19
UPP1,2220.71202747668,2.52696528007397,0.263340498243444,9.59580959605357,8.32608446661007e-22,1.03904636446549e-19
MIR5684,48.4222103406311,4.14419089205714,0.432170118882505,9.58925828276394,8.87204969917676e-22,1.0990980109082302e-19
SSSCA1-AS1,102.931055061414,2.40410525010357,0.251046238050291,9.57634445660154,1.0054056840471601e-21,1.23650328040931e-19
IER5,6708.61298468022,3.07328679607905,0.321013403203051,9.57370242305773,1.03144308337617e-21,1.25939942525614e-19
TULP2,779.228945023918,6.00079915713904,0.627110762839463,9.56896215585318,1.0798417876414601e-21,1.30907677284649e-19
LOC101927692,118.134906215727,1.76471527445448,0.185175739619928,9.52994856711011,1.57361173103341e-21,1.89413746802121e-19
RPL36A,1360.05936474822,3.66188060721485,0.384693671097462,9.51895204506006,1.74934192211059e-21,2.0908331762014802e-19
HIPK1-AS1,376.974039561348,2.18274840004383,0.229330430504344,9.51791873081787,1.76682030434874e-21,2.0969562381403302e-19
CALML4,1219.12959128315,-1.09361214675939,0.114965223232301,-9.51254749925216,1.86049516337113e-21,2.1928002717177e-19
C2orf61,103.328329085561,-3.29665068409992,0.346664881237995,-9.50961825820679,1.91363475106625e-21,2.2398764824204404e-19
EPB41L4A,394.555271936243,1.97118822494707,0.207580964317887,9.49599705071423,2.1811394605049e-21,2.53549992628007e-19
FOXL2NB,258.382416301502,1.72212733781985,0.181764454709403,9.47450006423484,2.6804113193488e-21,3.09468985795835e-19
