,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
VNN3,8039.26221671436,-1.34419210561335,0.231398560109004,-5.80899079484396,6.2850544517385e-09,5.03919446445033e-07
DLX2,33.4408496511788,2.71603159003712,0.468399923527082,5.79853124139139,6.689824147977441e-09,5.33504532186029e-07
KMT2E-AS1,803.166944367119,0.805574521201997,0.139020987241926,5.79462523741199,6.847391093170921e-09,5.40291763875439e-07
CD2BP2,1586.42870100373,1.26761850192481,0.219498703873671,5.7750614448018,7.69250080127685e-09,6.00619185599171e-07
TRA2B,2136.90071826721,1.35910987963091,0.235692002495756,5.76646583354214,8.09511113818462e-09,6.28762460436184e-07
SNHG5,128.040495066719,1.26248797435422,0.221139845859034,5.70900268764317,1.13640096942315e-08,8.73564312216876e-07
PIGA,822.271948999025,1.45870342501745,0.255504310465942,5.70911474001097,1.13565313616173e-08,8.73564312216876e-07
OTX1,536.15216880136,-1.60727904161898,0.283143096906434,-5.67656093042632,1.37429618138704e-08,1.05101943348846e-06
CLEC7A,28621.3290213605,1.04888845412028,0.184894411621612,5.67290511877041,1.40395998155142e-08,1.06280483273484e-06
PPIF,59413.1975573791,1.94648177845171,0.343403910759377,5.66819921807939,1.44306122932801e-08,1.08688748045296e-06
ALOX12,578.946837267039,1.05573693868961,0.186525990252778,5.65999910928707,1.51373780703788e-08,1.1287185958178e-06
TIFA,1795.8990643938,2.38495054894471,0.421355704339179,5.66018336617771,1.51211339053655e-08,1.1287185958178e-06
VPS9D1,2309.74965443092,2.01310117993965,0.35839030082908,5.61706378571813,1.94229735898332e-08,1.44106868231434e-06
DNTTIP2,8523.2323339148,1.72848678185056,0.308885625709501,5.59587963305279,2.19505958632058e-08,1.61255781333984e-06
SLC1A5,215.284763911078,2.26448479298909,0.405243412579186,5.58796200677687,2.2974989116323e-08,1.67953927790061e-06
TNFAIP3,205719.242112942,1.21478250554736,0.217596522807325,5.58272940153097,2.36772991180702e-08,1.72243688657454e-06
PGS1,3683.55489980825,1.64482268053563,0.295335692936526,5.56933252523981,2.55717047568834e-08,1.8512176361136e-06
HNRNPU-AS1,1251.99487703417,1.21084892456579,0.21794170775709,5.55583847179613,2.7628227887098e-08,1.99043363517049e-06
MAP7D3,636.073603264337,0.777033798534984,0.139901056205649,5.55416677764587,2.78939067917069e-08,1.99991265377271e-06
MED29,2925.53118295616,1.04540164348877,0.188640144274413,5.54177716259604,2.9941718580063e-08,2.13646339322718e-06
NFKBIE,4940.68103090202,-1.22668702516078,0.221556077850687,-5.53668866618716,3.08243769724266e-08,2.18897111328475e-06
MIR5684,48.4222103406311,2.37639324415418,0.430490508469071,5.52019892983289,3.38616098359435e-08,2.39326155205415e-06
SLA,25140.6954668081,-0.912408734490801,0.165716070305691,-5.5058554840681,3.67379817937407e-08,2.58430906834931e-06
POU5F1P5,51.8354889563921,1.84517291652735,0.336117831202391,5.48966090232891,4.02706120069475e-08,2.81951003220473e-06
CYB5D1,7322.80992355415,2.13909537871344,0.390932458624081,5.47177736594745,4.45544337859578e-08,3.09041986534878e-06
TSC22D2,5919.55103430767,1.13598467338471,0.207598165629907,5.47203618075254,4.44893971861335e-08,3.09041986534878e-06
MIR29B1,26.7475835708653,4.06006883287738,0.744465487654366,5.45366964648649,4.93408286220686e-08,3.40657304278199e-06
C10orf55,205.162948647099,1.72441459503473,0.317332705836391,5.43409035160655,5.50766700222821e-08,3.78386454377052e-06
TSSC2,52.0476169496845,-1.75073530887081,0.322221611673661,-5.43332677090548,5.53129799867212e-08,3.78386454377052e-06
HCAR1,435.919923974361,1.29885172437378,0.241541295548844,5.37734850441393,7.55907697118306e-08,5.14742077037685e-06
ZAK,716.281951921528,1.25362463350809,0.233669210586745,5.36495428884376,8.09697222884717e-08,5.48864303858172e-06
C5orf28,216.480031608318,0.948237584328475,0.17767200653482,5.33701173765177,9.44909252299721e-08,6.34749174754312e-06
RIPK2,2959.59880765361,1.6486152204962,0.308954628831499,5.33610785095354,9.49629299286638e-08,6.3505927086375e-06
TBC1D7,448.523590501847,1.37290028861054,0.25830231644994,5.31509088838006,1.0660410353985e-07,7.09726337540084e-06
OR2B11,125.512056261326,2.48425791995706,0.467657542279569,5.3121305557218,1.08350931141456e-07,7.18149971605571e-06
FANCA,349.247199623683,1.16165540918935,0.218801482625544,5.30917521787275,1.10122428295107e-07,7.26661846533154e-06
SLC51A,160.311307194056,1.21442851801941,0.228885853924993,5.30582601412047,1.12163904428803e-07,7.36872381826755e-06
P2RY13,21980.2839978869,1.13272918439284,0.213610078664905,5.302789041943,1.14046688334428e-07,7.45955378566368e-06
TMX2,311.901119064124,-1.09272516073142,0.207099030278384,-5.27634127143219,1.31788559827266e-07,8.50806403767976e-06
PIGU,67.8548422852151,2.07854799306069,0.393906531168587,5.27675432771918,1.31491977475148e-07,8.50806403767976e-06
ICAM5,57.7399416573608,2.67313939396602,0.507524286258662,5.26701769026999,1.38657849911253e-07,8.91295049882117e-06
LINC01132,8.49049023577041,6.96365295968587,1.32584602442629,5.25223354099443,1.5026576062591e-07,9.61765359748579e-06
SLC25A25,260.825098504932,2.18573593205628,0.41631780827529,5.25016198829276,1.51965514395074e-07,9.68487912894759e-06
MRC1,22.9724992371431,4.28317628894193,0.818870102230229,5.23059307853164,1.68967074383835e-07,1.07225786395155e-05
SSSCA1-AS1,102.931055061414,1.39334163154315,0.267639412145147,5.20604054677683,1.92912510704156e-07,1.2087833076181e-05
OLR1,11810.348173078,3.51672261958793,0.676659459233887,5.1971823811782,2.02331833388951e-07,1.25723942972059e-05
