,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EPM2AIP1,2438.76466875426,3.46772450814107,0.242618320895259,14.2929210594864,2.42232005384457e-46,2.12494464488142e-43
LOC100130476,1308.97057161869,4.09187533751002,0.293250825042941,13.9534998304296,2.99538225155495e-44,2.48167419541328e-41
NR1D1,299.252282547718,3.78127512374444,0.278570292333512,13.5738635016307,5.7224415479698396e-42,4.49151425288812e-39
ZFP36,228125.826255964,3.07637994930185,0.239464900309468,12.8468929906895,8.95346440868162e-38,6.676150736333451e-35
LOC100506801,414.237563562101,2.14980598150641,0.171702184733459,12.5205511207889,5.76335681674546e-36,4.0928066765773895e-33
CHP2,898.541713455081,3.56800927498492,0.288144372154367,12.3827137358541,3.2419239824055704e-35,2.19758237952792e-32
TNF,1400.33464019783,5.31046995472137,0.429016988739225,12.3782276555703,3.4283000678027e-35,2.22287995265834e-32
CCL3L1,100.155993311176,6.57339286021587,0.535505091250872,12.2751267310293,1.2319874913216099e-34,7.65526227419965e-32
KCNJ2-AS1,778.629589057591,2.91843544823798,0.238531820078515,12.2349942547596,2.02119148567948e-34,1.20568114503752e-31
CFAP58-AS1,1086.30977859951,2.55164705903257,0.209079738070013,12.2041814409492,2.9526290114082097e-34,1.69355986335118e-31
APLP1,653.994785581507,3.56456834805994,0.297090352654525,11.9982635457875,3.62828818226578e-33,2.0040245060048e-30
IL1A,34313.2027487413,7.29328145255975,0.613685491680978,11.8843960814233,1.42662451836501e-32,7.59830408656338e-30
CTDSPL,769.21222858693,4.31503002291876,0.38139733347671,11.3137393583331,1.12203489273873e-29,5.76996770876299e-27
ICAM1,130172.537358869,3.08315652760177,0.273191121042393,11.2857127853849,1.54385012888931e-29,7.67447899070874e-27
OR2B11,125.512056261326,4.87563498551006,0.446292151643275,10.9247607594211,8.77713942856277e-28,4.2223703321986e-25
NLRP3,10859.6528235257,3.42660249139633,0.315889907297292,10.8474579663334,2.0504886157366998e-27,9.55591772702546e-25
PNPLA1,811.950347207231,2.68964634577956,0.248670422707258,10.81610879371,2.88779256272412e-27,1.3050197117546901e-24
PLAU,5966.11266987186,3.40596106386325,0.317588039330575,10.7244626436263,7.813992718949409e-27,3.39684105885866e-24
LINC00528,2585.59777442071,1.9884606325345,0.185445592668654,10.7226092781153,7.97220123784973e-27,3.39684105885866e-24
IER3,28785.2244451232,2.83616451053295,0.265838421684781,10.6687531943593,1.42525958679928e-26,5.90413783831601e-24
CAMK1G,244.713544603637,5.27515771063798,0.516984207608077,10.2037115118941,1.9083724037031802e-24,7.69177233957446e-22
DUSP2,3492.6903351267,3.43176876690022,0.338252365857156,10.1455868851172,3.46688238579457e-24,1.36056886893038e-21
PPP1R15B,48111.8621047935,1.83836163582304,0.182370785130012,10.0803516007922,6.74842033874262e-24,2.58049211568381e-21
C10orf55,205.162948647099,3.11607783465459,0.310659246888003,10.0305330224984,1.11910820502145e-23,4.17231516537124e-21
XBP1,4096.05584032485,3.36994683856356,0.337719938387225,9.97852497147985,1.8925925366222801e-23,6.883959146011731e-21
BIRC3,8767.14204618856,3.18397256900713,0.319274351318507,9.97252850364672,2.01044306700352e-23,7.13850891862463e-21
KLF10,2623.03734685887,2.26772282255739,0.230236716073008,9.8495273092685,6.88670933059979e-23,2.3884068894705703e-20
CXCL3,323.392348988498,4.1564604213282,0.432138453701048,9.61835352936129,6.68932910895164e-22,2.26722647731354e-19
CXCL2,3829.7241238245,3.33665513191379,0.347635840472742,9.59813328618922,8.14053393246686e-22,2.6977729452195203e-19
TNFAIP2,92967.3135035493,1.93377241717509,0.202715818819772,9.5393266713652,1.43762661682536e-21,4.66072298624273e-19
GPR132,5429.76988732179,1.79134925799148,0.188540269033053,9.50114936813542,2.07586252298394e-21,6.586667618140331e-19
PLK2,1273.20501967353,2.58460803688728,0.273221783161263,9.45974368142447,3.0869898142475202e-21,9.59089147914028e-19
IL23A,304.13752688019,3.87991548069815,0.41181122779981,9.42158741379498,4.44319056606124e-21,1.35227144717697e-18
GCH1,2555.74962688266,2.32060649245493,0.247412633441298,9.37949877569825,6.6287085919746705e-21,1.9770786246423697e-18
NFKBID,12355.1320052542,2.64427570081325,0.28245112835825,9.36188754558404,7.83247284737278e-21,2.29030720731118e-18
CLEC4E,8749.19621563778,1.17904726060873,0.126357832424819,9.33101841003994,1.0485846014737101e-20,3.00721964649565e-18
RALGDS,3348.2190292991,2.36278013943266,0.253344404497354,9.32635612821414,1.0957325418800701e-20,3.08314328246368e-18
IER5,6708.61298468022,3.02101504263399,0.324793896387015,9.30132947767662,1.38700368928041e-20,3.8304418552294e-18
TIFA,1795.8990643938,3.90676474570351,0.420685192941836,9.28667043967877,1.5919020976767402e-20,4.3163701786642096e-18
HCG26,1009.03853123542,1.72760139870132,0.188095200244395,9.18471814515531,4.1260643379930404e-20,1.0987856691516101e-17
MIR3945,675.164064272391,2.33807447568738,0.255680361784222,9.14452114887324,5.98946195121327e-20,1.56703238734112e-17
PSD,235.307307663061,2.99875555570843,0.329357330615352,9.10486962626802,8.63701084397248e-20,2.2207541847614102e-17
CCRL2,1398.39465652411,2.24151552518615,0.246508686374295,9.09304884203014,9.62999672150002e-20,2.43410408657169e-17
PELO,363.853789569785,-2.40198707453044,0.268943331505203,-8.93120145826694,4.21406905788888e-19,1.04740686433828e-16
C15orf48,139.736912079477,4.01646038961007,0.457830247530161,8.77281571341674,1.7425309472901598e-18,4.26005967490788e-16
TGIF2,1857.10825935851,1.43586759058937,0.164329397942263,8.73774022523869,2.3781959433778e-18,5.72032840380533e-16
SH2D3A,349.702690332502,3.5245191175205,0.406781623895242,8.66440102129138,4.5389302119954496e-18,1.0744296230395e-15
TMEM205,318.849880922605,1.65080648181803,0.190973265423565,8.6441758125498,5.41950535482966e-18,1.26282942744648e-15
TAGAP,61979.7381349002,1.86922313099837,0.217327587288599,8.60094732711565,7.9060766127079e-18,1.8138972388509703e-15
TICAM1,1473.31005256008,2.02060887845332,0.236931028927576,8.52825772799465,1.48568254851004e-17,3.3569672493833805e-15
GADD45B,8926.26874145047,3.45361712126333,0.409298284543476,8.43789786491636,3.23095761192563e-17,7.19153296517117e-15
HCP5,8187.03740249456,1.31547987240669,0.156041182033489,8.43033778175538,3.44668870768929e-17,7.55889245555446e-15
NFKB2,21255.627204336,1.81626705625889,0.217245560358946,8.36043348024209,6.248822426795931e-17,1.3505607079827201e-14
BTN2A2,1062.86063662276,1.99483555998607,0.239478622821466,8.32991077234166,8.090330750353521e-17,1.7235871782860302e-14
NFKBIB,1772.71045965122,1.40577311753097,0.169015840589818,8.31740452625751,8.991046799345951e-17,1.88849973124854e-14
C1orf74,1148.97144874461,-2.12848092662801,0.257998458372098,-8.24997536829545,1.5842717714861e-16,3.28142290669059e-14
LOC101928865,102.035383828729,2.43184028050221,0.299882776460574,8.10930293898331,5.09109736559443e-16,1.04004842483712e-13
PIM3,7551.717330155,2.00683122711493,0.250843834911552,8.00032110744336,1.24095163515909e-15,2.50085293717939e-13
TULP2,779.228945023918,5.1125552030614,0.639910513398776,7.98948461700829,1.3550403298915501e-15,2.6943621919563497e-13
EHD1,35776.096325105,2.24391905499927,0.281102172530557,7.98257457350441,1.4331217024053602e-15,2.81212420368041e-13
TRAF3IP3,2616.908844585,-1.29829057012074,0.162747334000566,-7.97733848049533,1.4952237629138402e-15,2.89587947744598e-13
EREG,1086.64425365559,2.52409653649513,0.31773879254262,7.94393569729628,1.95865157182362e-15,3.74479113982124e-13
